user_id,username,password,ip_address,login_time,device_id,geo_location,login_result
1,alice,pass123,127.0.0.1,2025-09-10 10:00:00,DEVICE001,India,SUCCESS
2,bob,secure456,192.168.1.5,2025-09-10 23:00:00,DEVICE002,USA,FAILED
3,charlie,qwerty,127.0.0.1,2025-09-09 14:00:00,DEVICE003,India,SUCCESS
4,david,pass1234,100.2.3.1.5,2025-09-10 09:00:00,DEVICE004,UK,FAILED
5,prajapatikathan,-,127.0.0.1,2025-09-10 23:07:53,LAPTOP-364A0SBP,Unknown,FAILED
6,karan,passkaran,127.0.0.1,2025-09-11 10:05:00,DEVICE006,India,SUCCESS
7,kiran,passkiran,127.0.0.1,2025-09-11 10:06:00,DEVICE007,India,SUCCESS
8,het,passhet,192.168.1.10,2025-09-11 10:07:00,DEVICE008,USA,FAILED
9,hetvi,passhetvi,127.0.0.1,2025-09-11 10:08:00,DEVICE009,India,SUCCESS
10,hetanshi,passhetanshi,203.0.113.5,2025-09-11 10:09:00,DEVICE010,UK,FAILED
11,rhythm,passrhythm,198.51.100.23,2025-09-11 10:10:00,DEVICE011,USA,FAILED
12,shrisha,passsrisha,127.0.0.1,2025-09-11 10:11:00,DEVICE012,India,SUCCESS
13,arjun,passarjun,127.0.0.1,2025-09-11 10:12:00,DEVICE013,India,SUCCESS
14,diya,passdiya,203.0.113.9,2025-09-11 10:13:00,DEVICE014,UAE,FAILED
15,neha,passneha,127.0.0.1,2025-09-11 10:14:00,DEVICE015,India,SUCCESS
11,rhythm,passrhythm,198.51.100.23,2025-09-11 10:10:00,DEVICE011,India,FAILED
17,rhythm,-,127.0.0.1,2025-09-11 16:50:12,LAPTOP-364A0SBP,Unknown,FAILED
18,rhythm,-,127.0.0.1,2025-09-11 16:50:40,LAPTOP-364A0SBP,USA,OTP_REQUIRED
19,shrisha,-,127.0.0.1,2025-09-11 16:51:16,LAPTOP-364A0SBP,USA,OTP_REQUIRED
20,bob,-,127.0.0.1,2025-09-11 16:54:52,LAPTOP-364A0SBP,Unknown,FAILED
21,bob,-,127.0.0.1,2025-09-11 16:55:03,LAPTOP-364A0SBP,India,SUCCESS
22,bob,-,127.0.0.1,2025-09-11 16:55:22,LAPTOP-364A0SBP,USA,OTP_REQUIRED
23,bob,-,127.0.0.1,2025-09-11 16:55:29,LAPTOP-364A0SBP,UK,OTP_REQUIRED
24,bob,-,127.0.0.1,2025-09-11 16:55:41,LAPTOP-364A0SBP,Other,OTP_REQUIRED
25,bob,-,127.0.0.1,2025-09-11 16:58:37,LAPTOP-364A0SBP,India,SUCCESS
26,bob,-,127.0.0.1,2025-09-11 16:58:52,LAPTOP-364A0SBP,USA,OTP_REQUIRED
27,bob,-,127.0.0.1,2025-09-11 17:01:51,LAPTOP-364A0SBP,Unknown,FAILED
28,bob,-,127.0.0.1,2025-09-11 22:31:55,LAPTOP-364A0SBP,Unknown,FAILED
29,bob,-,127.0.0.1,2025-09-11 22:32:09,LAPTOP-364A0SBP,Unknown,FAILED
30,shrisha ,-,127.0.0.1,2025-09-11 22:35:07,LAPTOP-364A0SBP,Unknown,FAILED
31,shrisha ,-,127.0.0.1,2025-09-11 22:35:21,LAPTOP-364A0SBP,Unknown,FAILED
32,shrisha,-,127.0.0.1,2025-09-11 22:35:40,LAPTOP-364A0SBP,USA,OTP_REQUIRED
33,shrisha,-,127.0.0.1,2025-09-11 22:40:57,LAPTOP-364A0SBP,Unknown,FAILED
34,bob,-,127.0.0.1,2025-09-11 22:41:19,LAPTOP-364A0SBP,UK,OTP_REQUIRED
35,bob,-,127.0.0.1,2025-09-11 22:55:38,LAPTOP-364A0SBP,India,SUCCESS
36,bob,-,127.0.0.1,2025-09-11 22:55:51,LAPTOP-364A0SBP,USA,OTP_REQUIRED
37,bob,-,127.0.0.1,2025-09-12 16:00:05,LAPTOP-364A0SBP,USA,OTP_REQUIRED
38,bob,-,127.0.0.1,2025-09-12 16:02:21,LAPTOP-364A0SBP,USA,OTP_REQUIRED
